Industry,Month,Revenue,Customers,Orders,Profit,Revenue_Lag_1,Revenue_Lag_2,Revenue_Lag_3
Finance,2021-04-30,1178.9491201119906,91.18802483699704,58.51479341225786,325.2665672921888,1015.2435389010158,1125.8889286866624,924.763953065468
Finance,2021-05-31,1282.681103751725,149.88372488626496,98.26945647724801,343.6292798993531,1178.9491201119906,1015.2435389010158,1125.8889286866624
Finance,2021-06-30,1267.8616771249626,93.56694904217645,60.436351616631725,327.3498036393962,1282.681103751725,1178.9491201119906,1015.2435389010158
Finance,2021-07-31,1372.6851010884452,111.73353859243832,56.22955775138037,395.8289179387565,1267.8616771249626,1282.681103751725,1178.9491201119906
Finance,2021-08-31,1402.3538041934519,153.86539436679766,92.60242038138321,352.0762580231502,1372.6851010884452,1267.8616771249626,1282.681103751725
Finance,2021-09-30,1590.0495005061828,148.6840554862708,90.17164106117232,374.3986106912936,1402.3538041934519,1372.6851010884452,1267.8616771249626
Finance,2021-10-31,1499.1886686866385,143.73542439929108,88.46259235591178,350.85973608848576,1590.0495005061828,1402.3538041934519,1372.6851010884452
Finance,2021-11-30,1779.5853618462645,160.06639014023636,94.17111764252823,422.9097875478574,1499.1886686866385,1590.0495005061828,1402.3538041934519
Finance,2021-12-31,1883.9767042387623,192.32876595410772,125.71570496715098,396.716157407842,1779.5853618462645,1499.1886686866385,1590.0495005061828
Finance,2022-01-31,1827.9023579264413,200.58285170511286,121.17255091582196,510.2496082348779,1883.9767042387623,1779.5853618462645,1499.1886686866385
Finance,2022-02-28,1823.574528311192,210.5444016348308,149.31562221709098,437.751704055815,1827.9023579264413,1883.9767042387623,1779.5853618462645
Finance,2022-03-31,1926.471296871306,221.71481922948465,148.8246129949979,455.4748228601631,1823.574528311192,1827.9023579264413,1883.9767042387623
Finance,2022-04-30,2028.5057613598656,197.21488395877643,104.88442526492308,461.1938430157565,1926.471296871306,1823.574528311192,1827.9023579264413
Finance,2022-05-31,2062.3776963716887,190.8818183350863,114.18224212718397,527.3051607197482,2028.5057613598656,1926.471296871306,1823.574528311192
Finance,2022-06-30,2478.078376938723,227.8407568790965,146.54767811222374,608.8201520234053,2062.3776963716887,2028.5057613598656,1926.471296871306
Finance,2022-07-31,2400.6835885327937,253.56474869661145,140.91162900234386,619.291384442401,2478.078376938723,2062.3776963716887,2028.5057613598656
Finance,2022-08-31,2546.924460361207,264.54147131628366,161.61656922884836,759.4961220858464,2400.6835885327937,2478.078376938723,2062.3776963716887
Finance,2022-09-30,2576.7689070342644,247.0569516033901,142.0027656977864,616.4183708005534,2546.924460361207,2400.6835885327937,2478.078376938723
Finance,2022-10-31,2709.4761351248612,294.72794413463714,191.0418089606808,648.8317190937415,2576.7689070342644,2546.924460361207,2400.6835885327937
Finance,2022-11-30,2825.3780511492187,291.96611624264995,169.65743930278026,737.9911036750802,2709.4761351248612,2576.7689070342644,2546.924460361207
Finance,2022-12-31,3095.8745184199684,279.27256954205217,183.03859373853192,863.7625132597682,2825.3780511492187,2709.4761351248612,2576.7689070342644
